Disease,Symptoms
TEN,Toxic epidermal necrolysis signs and symptoms include: Widespread skin pain A spreading rash covering more than 30% of the body Blisters and large areas of peeling skin Sores swelling and crusting on the mucous membranes including the mouth eyes and vagina
Tendinitis,Symptoms of tendinitis tend to occur where a tendon attaches to a bone Symptoms often include: Pain often described as a dull ache especially when moving the hurt limb or joint Tenderness Mild swelling
Tennis elbow,The pain of tennis elbow can travel from the outside of the elbow into the forearm and wrist Pain and weakness can make it hard to: Shake hands or grip an object Turn a doorknob Hold a coffee cup
Tension headache,Symptoms of a tension-type headache include: Dull aching head pain Feeling of tightness or pressure across the forehead or on the sides and back of the head Tenderness in the scalp neck and shoulder muscles Tension-type headaches are divided into two main categories — episodic and chronic
Testicular cancer,Testicular lumps Enlarge image Close Testicular lumps Testicular lumps Pain swelling or lumps in your testicle or groin area may be a sign or symptom of testicular cancer or other medical conditions requiring treatment Signs and symptoms of testicular cancer include: A lump or swelling in either testicle A feeling of heaviness in the scrotum A dull ache in the lower belly or groin Sudden swelling in the scrotum Pain or discomfort in a testicle or the scrotum Enlargement or tenderness of the breast tissue Back pain Usually testicular cancer only happens in one testicle
Testicular torsion,Symptoms Signs and symptoms of testicular torsion include: Sudden severe pain in the scrotum — the loose bag of skin under your penis that contains the testicles Swelling of the scrotum Abdominal pain Nausea and vomiting A testicle that's positioned higher than normal or at an unusual angle Frequent urination Fever Young boys who have testicular torsion typically wake up due to scrotal pain in the middle of the night or early in the morning
Tetanus,The average time from infection to appearance of signs and symptoms (incubation period) is 10 days The incubation period can range from 3 to 21 days The most common type of tetanus is called generalized tetanus Signs and symptoms begin gradually and then progressively worsen over two weeks They usually start at the jaw and progress downward on the body Signs and symptoms of generalized tetanus include: Painful muscle spasms and stiff immovable muscles (muscle rigidity) in your jaw Tension of muscles around your lips sometimes producing a persistent grin Painful spasms and rigidity in your neck muscles Difficulty swallowing Rigid abdominal muscles Progression of tetanus results in repeated painful seizure-like spasms that last for several minutes (generalized spasms) Usually the neck and back arch the legs become rigid the arms are drawn up to the body and the fists are clenched Muscle rigidity in the neck and abdomen may cause breathing difficulties These severe spasms may be triggered by minor events that stimulate the senses — a loud sound a physical touch a draft or light As the disease progresses other signs and symptoms may include: High blood pressure Low blood pressure Rapid heart rate Fever Extreme sweating
Tetralogy of Fallot,Tetralogy of Fallot symptoms depend on how much blood flow is blocked from leaving the heart to go to the lungs Symptoms may include: Blue or gray skin color Shortness of breath and rapid breathing especially during feeding or exercise Trouble gaining weight Getting tired easily during play or exercise Irritability Crying for long periods of time Fainting
Thalassemia,Symptoms There are several types of thalassemia The signs and symptoms you have depend on the type and severity of your condition Thalassemia signs and symptoms can include: Fatigue Weakness Pale or yellowish skin Facial bone deformities Slow growth Abdominal swelling Dark urine Some babies show signs and symptoms of thalassemia at birth; others develop them during the first two years of life Some people who have only one affected hemoglobin gene don't have thalassemia symptoms
Thoracic aortic aneurysm,Thoracic aortic aneurysms often grow slowly There are usually no symptoms making them difficult to detect Many start small and stay small Others grow bigger over time How quickly a thoracic aortic aneurysm may grow is difficult to predict As a thoracic aortic aneurysm grows symptoms may include: Back pain Cough Weak scratchy voice Shortness of breath Tenderness or pain in the chest Symptoms that a thoracic aortic aneurysm has ruptured or dissected include: Sharp sudden pain in the upper back that spreads downward Pain in the chest jaw neck or arms Difficulty breathing Low blood pressure Loss of consciousness Shortness of breath Trouble swallowing Some aneurysms may never rupture or lead to dissection
Thoracic outlet syndrome,There are three types of thoracic outlet syndrome: Neurogenic thoracic outlet syndrome This is the most common type of thoracic outlet syndrome In this type a group of nerves called the brachial plexus is compressed The nerves of the brachial plexus come from the spinal cord The nerves control muscle movements and feeling in the shoulder arm and hand Venous thoracic outlet syndrome This type of thoracic outlet syndrome occurs when one or more of the veins under the collarbone are compressed and damaged This can result in blood clots Arterial thoracic outlet syndrome This is the least common type of TOS It occurs when one of the arteries under the collarbone is compressed The compression may cause injury to the artery resulting in a bulge known as an aneurysm or blood clot formation Thoracic outlet syndrome symptoms can vary depending on the type When nerves are compressed symptoms of neurogenic thoracic outlet syndrome include: Numbness or tingling in the arm or fingers Pain or aches in the neck shoulder arm or hand Arm fatigue with activity A weakening grip Symptoms of venous thoracic outlet syndrome can include: A change in the color of the hand or one or more fingers Hand or arm pain and swelling Symptoms of arterial thoracic outlet syndrome can include: A pulsating lump near the collarbone Cold fingers hands or arms Hand and arm pain A change in color in one or more of the fingers or the entire hand Weak or no pulse in the affected arm
Throat cancer,Signs and symptoms of throat cancer may include: A cough Changes in your voice such as hoarseness or not speaking clearly Difficulty swallowing Ear pain A lump or sore that doesn't heal A sore throat Weight loss
Thrombocytopenia,Petechiae Enlarge image Close Petechiae Petechiae Bleeding into the skin looks like tiny reddish-purple spots also known as petechiae Petechiae might look like a rash Here they appear on a leg (A) and on the stomach area (B) Thrombocytopenia signs and symptoms may include: Easy or excessive bruising (purpura) Superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae) usually on the lower legs Prolonged bleeding from cuts Bleeding from your gums or nose Blood in urine or stools Unusually heavy menstrual flows Fatigue Enlarged spleen
Thrombocytosis,People with high platelet levels often don't have signs or symptoms When symptoms occur they're often related to blood clots Examples include: Headache Confusion or changes in speech Chest pain Shortness of breath and nausea Weakness Burning pain in the hands or feet Less commonly very high platelet levels may cause bleeding This can cause: Nosebleeds Bruising Bleeding from your mouth or gums Bloody stool Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements health tips current health topics and expertise on managing health Click here for an email preview Email Address 1 ErrorEmail field is required ErrorInclude a valid email address Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt-out of email communications at any time by clicking on the unsubscribe link in the e-mail Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Thrombophlebitis,Symptoms Symptoms of superficial thrombophlebitis include warmth tenderness and pain You might have redness and swelling and see a red hard cord just under the surface of your skin that's tender to the touch Symptoms of deep vein thrombosis include swelling tenderness and pain in your leg Superficial thrombophlebitis signs and symptoms include: Warmth tenderness and pain in the affected area Redness and swelling Deep vein thrombosis signs and symptoms include: Pain Swelling When a vein close to the surface of the skin is affected you might see a red hard cord just under the surface of the skin that's tender to the touch When a deep vein in the leg is affected the leg may become swollen tender and painful
Thumb arthritis,Pain is the first and most common symptom of thumb arthritis Pain can occur at the base of your thumb when you grip grasp or pinch an object or use your thumb to apply force Other signs and symptoms might include: Swelling stiffness and tenderness at the base of your thumb Decreased strength when pinching or grasping objects Decreased range of motion Enlarged or bony appearance of the joint at the base of your thumb
Thunderclap headaches,Thunderclap headaches are dramatic Symptoms include pain that: Strikes suddenly and severely Peaks within 60 seconds Can be accompanied by nausea or vomiting Thunderclap headaches might be accompanied by other signs and symptoms such as: Altered mental state Fever Seizures These signs and symptoms might reflect the underlying cause
Thyroid cancer,Thyroid gland Enlarge image Close Thyroid gland Thyroid gland The thyroid gland sits at the base of the neck Most thyroid cancers don't cause any signs or symptoms early in the disease As thyroid cancer grows it may cause: A lump (nodule) that can be felt through the skin on your neck A feeling that close-fitting shirt collars are becoming too tight Changes to your voice including increasing hoarseness Difficulty swallowing Swollen lymph nodes in your neck Pain in your neck and throat
Thyroid nodules,Symptoms Most thyroid nodules don't cause signs or symptoms But occasionally some nodules become so large that they can: Be felt Be seen often as a swelling at the base of your neck Press on your windpipe or esophagus causing shortness of breath or difficulty swallowing In some cases thyroid nodules produce additional thyroxine a hormone secreted by your thyroid gland The extra thyroxine can cause symptoms of an overproduction of thyroid hormones (hyperthyroidism) such as: Unexplained weight loss Increased sweating Tremor Nervousness Rapid or irregular heartbeat Only a small number of thyroid nodules are cancerous But determining which nodules are cancerous can't be done by evaluating your symptoms alone Most cancerous thyroid nodules are slow growing and may be small when your doctor discovers them Aggressive thyroid cancers are rare with nodules that may be large firm fixed and rapid growing
Tinea versicolor,Symptoms Tinea versicolor signs and symptoms include: Patches of skin discoloration usually on the back chest neck and upper arms which may appear lighter or darker than usual Mild itching Scaling When to see a doctor See your doctor if: Your skin doesn't improve with self-care measures The fungal infection returns The patches cover large areas of your body
Tinnitus,Tinnitus is most often described as a ringing in the ears even though no external sound is present However tinnitus can also cause other types of phantom noises in your ears including: Buzzing Roaring Clicking Hissing Humming Most people who have tinnitus have subjective tinnitus or tinnitus that only you can hear The noises of tinnitus may vary in pitch from a low roar to a high squeal and you may hear it in one or both ears In some cases the sound can be so loud it interferes with your ability to concentrate or hear external sound Tinnitus may be present all the time or it may come and go In rare cases tinnitus can occur as a rhythmic pulsing or whooshing sound often in time with your heartbeat This is called pulsatile tinnitus If you have pulsatile tinnitus your doctor may be able to hear your tinnitus when he or she does an examination (objective tinnitus)
TMJ disorders,Signs and symptoms of TMJ disorders may include: Pain or tenderness of your jaw Pain in one or both of the temporomandibular joints Aching pain in and around your ear Difficulty chewing or pain while chewing Aching facial pain Locking of the joint making it difficult to open or close your mouth TMJ disorders can also cause a clicking sound or grating sensation when you open your mouth or chew But if there's no pain or limitation of movement associated with your jaw clicking you probably don't need treatment for a TMJ disorder
Toe walking in children,Symptoms Toe walking is walking on the toes or the ball of the foot
Tongue cancer,Tongue cancer might not cause symptoms at first Sometimes it's found by a doctor or dentist who examines the mouth for signs of cancer as part of a checkup When tongue cancer happens in the mouth the first sign is often a sore on the tongue that doesn't heal Other symptoms may include pain or bleeding in the mouth and a lump or thickening on the tongue When tongue cancer happens in the throat the first sign can be swollen lymph nodes in the neck Other symptoms may include coughing up blood weight loss and ear pain There also may be a lump in the back of the mouth throat or neck Other tongue cancer symptoms may include: A red or white patch on the tongue or lining of the mouth A sore throat that doesn't go away A feeling that something is caught in the throat Numbness of the mouth or tongue Difficulty or pain with chewing swallowing or moving the jaws or tongue Swelling of the jaw A change in voice
Tongue-tie (ankyloglossia),Signs and symptoms of tongue-tie include: Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side Trouble sticking out the tongue past the lower front teeth A tongue that appears notched or heart shaped when stuck out
Tonic-clonic (grand mal) seizure,Tonic-clonic seizures have two stages: Tonic phase Loss of consciousness occurs The muscles suddenly contract and cause the person to fall down This phase tends to last about 10 to 20 seconds Clonic phase The muscles go into rhythmic contractions They alternately flex and relax Convulsions usually last 1 to 2 minutes or less The following symptoms occur in some but not all people with tonic-clonic seizures: A scream Some people may cry out at the beginning of a seizure Loss of bowel and bladder control This may happen during or following a seizure Not responding after convulsions The person may not become conscious for several minutes after convulsions have ended Confusion The person often is disoriented after a tonic-clonic seizure This is referred to as postictal confusion Fatigue Sleepiness is common after a tonic-clonic seizure Bad headache Headaches may occur after a tonic-clonic seizure
Tonsil cancer,Signs and symptoms of tonsil cancer include: Difficulty swallowing A sensation that something is caught in the back of your throat Swelling and pain in the neck Earache Jaw stiffness
Tonsillitis,Symptoms Tonsillitis most commonly affects children between preschool ages and the midteenage years Common signs and symptoms of tonsillitis include: Red swollen tonsils White or yellow coating or patches on the tonsils Sore throat Difficult or painful swallowing Fever Enlarged tender glands (lymph nodes) in the neck A scratchy muffled or throaty voice Bad breath Stomachache Neck pain or stiff neck Headache In young children who are unable to describe how they feel signs of tonsillitis may include: Drooling due to difficult or painful swallowing Refusal to eat Unusual fussiness
Tooth abscess,Symptoms Signs and symptoms of a tooth abscess include: Severe constant throbbing toothache that can spread to your jawbone neck or ear Pain or discomfort with hot and cold temperatures Pain or discomfort with the pressure of chewing or biting Fever Swelling in your face cheek or neck that may lead to difficulty breathing or swallowing Tender swollen lymph nodes under your jaw or in your neck Foul odor in your mouth Sudden rush of foul-smelling and foul-tasting salty fluid in your mouth and pain relief if the abscess ruptures
Torn meniscus,Symptoms If you've torn your meniscus it might take 24 hours or more for pain and swelling to begin especially if the tear is small You might develop the following signs and symptoms in your knee: A popping sensation Swelling or stiffness Pain especially when twisting or rotating your knee Difficulty straightening your knee fully Feeling as though your knee is locked in place when you try to move it Feeling of your knee giving way
Total anomalous pulmonary venous return (TAPVR),
Tourette syndrome,Tics — sudden brief intermittent movements or sounds — are the hallmark sign of Tourette syndrome They can range from mild to severe Severe symptoms might significantly interfere with communication daily functioning and quality of life Tics are classified as: Simple tics These sudden brief and repetitive tics involve a limited number of muscle groups Complex tics These distinct coordinated patterns of movements involve several muscle groups Tics can also involve movement (motor tics) or sounds (vocal tics) Motor tics usually begin before vocal tics do But the spectrum of tics that people experience is diverse Common motor tics seen in Tourette syndrome Simple tics Complex tics Eye blinking Touching or smelling objects Head jerking Repeating observed movements Shoulder shrugging Stepping in a certain pattern Eye darting Obscene gesturing Nose twitching Bending or twisting Mouth movements Hopping Common vocal tics seen in Tourette syndrome Simple tics Complex tics Grunting Repeating one's own words or phrases Coughing Repeating others' words or phrases Throat clearing Using vulgar obscene or swear words Barking In addition tics can: Vary in type frequency and severity Worsen if you're ill stressed anxious tired or excited Occur during sleep Change over time Worsen in the early teenage years and improve during the transition into adulthood Before the onset of motor or vocal tics you'll likely experience an uncomfortable bodily sensation (premonitory urge) such as an itch a tingle or tension Expression of the tic brings relief With great effort some people with Tourette syndrome can temporarily stop or hold back a tic
Toxic hepatitis,Mild forms of toxic hepatitis may not cause any symptoms and may be detected only by blood tests When signs and symptoms of toxic hepatitis occur they may include: Yellowing of the skin and whites of the eyes (jaundice) Itching Abdominal pain in the upper right portion of the abdomen Fatigue Loss of appetite Nausea and vomiting Rash Fever Weight loss Dark or tea-colored urine
Toxic shock syndrome,Symptoms Possible signs and symptoms of toxic shock syndrome include: A sudden high fever Low blood pressure Vomiting or diarrhea A rash resembling a sunburn particularly on your palms and soles Confusion Muscle aches Redness of your eyes mouth and throat Seizures Headaches
Toxoplasmosis,Most people infected with toxoplasmosis do not have any symptoms They often don't know they're infected Some people have flu-like symptoms including: Fever Swollen lymph nodes that may last for weeks Headache Muscle aches Skin rash
Trachoma,Signs and symptoms of trachoma usually affect both eyes and may include: Mild itching and irritation of the eyes and eyelids Eye discharge containing mucus or pus Eyelid swelling Light sensitivity (photophobia) Eye pain Eye redness Vision loss Young children are particularly susceptible to infection But the disease progresses slowly and the more painful symptoms may not emerge until adulthood The World Health Organization (WHO) has identified five stages in the development of trachoma: Inflammation — follicular The early infection has five or more follicles — small bumps that contain lymphocytes a type of white blood cell — visible with magnification on the inner surface of your upper eyelid (conjunctiva) Inflammation — intense In this stage your eye is now highly infectious and becomes irritated with a thickening or swelling of the upper eyelid Eyelid scarring Repeated infections lead to scarring of the inner eyelid The scars often appear as white lines when examined with magnification Your eyelid may become distorted and may turn in (entropion) In-turned eyelashes (trichiasis) The scarred inner lining of your eyelid continues to deform causing your lashes to turn in so that they rub on and scratch the transparent outer surface of your eye (cornea) Corneal clouding (opacity) The cornea becomes affected by an inflammation that is most commonly seen under your upper lid Continuous inflammation compounded by scratching from the in-turned lashes leads to clouding of the cornea All the signs of trachoma are more severe in your upper lid than in your lower lid Without intervention a disease process that begins in childhood can continue to advance into adulthood
Transient global amnesia,"Symptoms The main symptom of transient global amnesia is being unable to create new memories and remember the recent past Once that symptom is confirmed ruling out other possible causes of amnesia is important You must have these signs and symptoms to be diagnosed with transient global amnesia: Sudden onset of confusion that includes memory loss seen by a witness Being awake and alert and knowing who you are despite memory loss Normal cognition such as the ability to recognize and name familiar objects and follow simple directions No signs of damage to a particular area of the brain such as being unable to move an arm or leg movements you can't control or problems understanding words More symptoms and history that may help diagnose transient global amnesia: Symptoms lasting no more than 24 hours and generally shorter Gradual return of memory No recent head injury No signs of seizures during the period of amnesia No history of active epilepsy Another common sign of transient global amnesia due to the inability to create new memories includes repetitive questioning usually of the same question — for example ""What am I doing here?"" or ""How did we get here?"""
Transient ischemic attack (TIA),Transient ischemic attacks usually last a few minutes Most symptoms disappear within an hour Rarely symptoms may last up to 24 hours The symptoms of a TIA are similar to those found early in a stroke Symptoms happen suddenly and may include: Weakness numbness or paralysis in the face arm or leg typically on one side of the body Slurred speech or trouble understanding others Blindness in one or both eyes or double vision Dizziness or loss of balance or coordination You may have more than one TIA Their symptoms may be similar or different depending on which area of the brain is involved
Transposition of the great arteries,Transposition of the great arteries (TGA) may be seen in a baby before birth during a routine pregnancy ultrasound But some people with the congenitally corrected type of TGA may not have symptoms for many years Symptoms of transposition of the great arteries after birth include: Blue or gray skin Depending on the baby's skin color these color changes may be harder or easier to see Weak pulse Lack of appetite Poor weight gain Skin color changes may not be noticed right away if a baby with TGA also has other heart problems This is because the other heart problems may let some oxygen-rich blood move through the body But as the baby becomes more active less blood flows through the body The blue or gray skin color then becomes more noticeable
Transverse myelitis,Symptoms Signs and symptoms of transverse myelitis usually develop over a few hours to a few days and may sometimes progress gradually over several weeks Transverse myelitis usually affects both sides of the body below the affected area of the spinal cord but sometimes there are symptoms on just one side of the body Typical signs and symptoms include: Pain Transverse myelitis pain may begin suddenly in your lower back Sharp pain may shoot down your legs or arms or around your chest or abdomen Pain symptoms vary based on the part of your spinal cord that's affected Abnormal sensations Some people with transverse myelitis report sensations of numbness tingling coldness or burning Some are especially sensitive to the light touch of clothing or to extreme heat or cold You may feel as if something is tightly wrapping the skin of your chest abdomen or legs Weakness in your arms or legs Some people notice heaviness in the legs or that they're stumbling or dragging one foot Others may develop severe weakness or even total paralysis Bladder and bowel problems This may include needing to urinate more frequently urinary incontinence difficulty urinating and constipation
Traumatic brain injury,Symptoms Traumatic brain injury can have wide-ranging physical and psychological effects Some signs or symptoms may appear immediately after the traumatic event while others may appear days or weeks later Mild traumatic brain injury The signs and symptoms of mild traumatic brain injury may include: Physical symptoms Headache Nausea or vomiting Fatigue or drowsiness Problems with speech Dizziness or loss of balance Sensory symptoms Sensory problems such as blurred vision ringing in the ears a bad taste in the mouth or changes in the ability to smell Sensitivity to light or sound Cognitive behavioral or mental symptoms Loss of consciousness for a few seconds to a few minutes No loss of consciousness but a state of being dazed confused or disoriented Memory or concentration problems Mood changes or mood swings Feeling depressed or anxious Difficulty sleeping Sleeping more than usual Moderate to severe traumatic brain injuries Moderate to severe traumatic brain injuries can include any of the signs and symptoms of mild injury as well as these symptoms that may appear within the first hours to days after a head injury: Physical symptoms Loss of consciousness from several minutes to hours Persistent headache or headache that worsens Repeated vomiting or nausea Convulsions or seizures Dilation of one or both pupils of the eyes Clear fluids draining from the nose or ears Inability to awaken from sleep Weakness or numbness in fingers and toes Loss of coordination Cognitive or mental symptoms Profound confusion Agitation combativeness or other unusual behavior Slurred speech Coma and other disorders of consciousness Children's symptoms Infants and young children with brain injuries might not be able to communicate headaches sensory problems confusion and similar symptoms In a child with traumatic brain injury you may observe: Change in eating or nursing habits Unusual or easy irritability Persistent crying and inability to be consoled Change in ability to pay attention Change in sleep habits Seizures Sad or depressed mood Drowsiness Loss of interest in favorite toys or activities
Traveler's diarrhea,Traveler's diarrhea may begin suddenly during your trip or shortly after you return home Most people improve within 1 to 2 days without treatment and recover completely within a week However you can have multiple episodes of traveler's diarrhea during one trip The most common symptoms of traveler's diarrhea are: Suddenly passing three or more looser watery stools a day An urgent need to pass stool Stomach cramps Nausea Vomiting Fever Sometimes people experience moderate to severe dehydration ongoing vomiting a high fever bloody stools or severe pain in the belly or rectum If you or your child experiences any of these symptoms or if the diarrhea lasts longer than a few days it's time to see a health care professional
Trichinosis,Symptoms Signs and symptoms of trichinosis infection and how severe the infection is can vary This depends on the number of larvae eaten in the infected meat Possibly no signs or symptoms Mild cases of trichinosis — those with only a small number of parasites in your body — may cause no signs or symptoms Symptoms can develop with moderate or heavy infestation — a large number of parasites in your body These symptoms sometimes get worse as the roundworm (trichinella) larvae travel through your body Initial signs and symptoms You swallow roundworm (trichinella) larvae in tiny sacks (cysts) containing the parasite Your digestive juices dissolve the cysts releasing the larvae into your body The larvae then enter the wall of your small intestine where they grow into adult worms and mate Digestive symptoms can begin 1 to 2 days after infection At this stage you may experience: Diarrhea Stomach (abdominal) pain Severe tiredness and weakness (fatigue) Nausea and vomiting Later signs and symptoms About a week after infection the adult female worms produce larvae The larvae go through the wall of your intestine and enter your bloodstream They travel around the body and bury themselves in muscle tissue Here each larva coils up and forms a cyst around itself The larvae can live for months to years inside the muscle tissue Symptoms caused by muscle tissue invasion usually start 2 to 8 weeks after infection and include: High fever and chills Muscle pain and tenderness Aching joints Swelling of the eyelids or face Weakness Headache Sensitivity to light Pink eye (conjunctivitis) Itchy irritated skin With a large number of parasites muscle pain and weakness can be severe This can limit moving breathing and speaking Symptoms last for several months But symptoms generally lessen when the larvae form cysts Even after the infection is gone fatigue mild pain weakness and diarrhea may last for months or years
Trichomoniasis,Symptoms Most people with trichomoniasis have no signs or symptoms However symptoms may develop over time When signs and symptoms develop they are different for men and women In women trichomoniasis signs and symptoms include: A large amount of a thin often foul-smelling discharge from the vagina — which might be clear white gray yellow or green Genital redness burning and itching Pain with urination or sex Discomfort over the lower stomach area In men trichomoniasis rarely causes symptoms When men do have signs and symptoms however they might include: Itching or irritation inside the penis Burning with urination or after ejaculation Discharge from the penis
Trichotillomania (hair-pulling disorder),Symptoms of trichotillomania often include: Repeatedly pulling out your hair whether it's automatic or on purpose usually from your scalp eyebrows or eyelashes but sometimes from other body areas The sites may vary over time An increasing sense of tension before pulling out your hair or when you try to resist pulling A sense of pleasure or relief after the hair is pulled out Hair loss that's easy to see such as shortened hair or thinned or bald areas on the scalp or other areas of your body This may include thin or missing eyelashes or eyebrows Pulling out specific types of hair taking the same steps in the same way each time hair is pulled out or pulling out hair in certain patterns Biting chewing or eating pulled-out hair Playing with pulled-out hair or rubbing it across your lips or face Repeatedly trying to stop pulling out your hair or trying to do it less often without success Experiencing a great deal of distress or problems at work school or in social situations related to pulling out your hair Often trichotillomania also includes picking your skin biting your nails or chewing your lips Sometimes pulling out hairs from pets or dolls or from materials such as clothes or blankets may be a sign Pulling out hair is usually done in private An episode can last from a few seconds to hours You may try to hide your condition from others With trichotillomania pulling out hair can be: Automatic You may pull out your hair without even realizing that you're doing it This might happen for example when you're bored reading or watching TV Focused You may pull out your hair on purpose to relieve tension or distress You may develop specific rituals for pulling out hair such as finding just the right hair You may play with bite or eat pulled-out hairs You may do both automatic and focused hair pulling depending on the situation and your mood Certain positions or activities may trigger pulling out hair such as resting your head on your hand or brushing your hair Trichotillomania can be related to emotions including: Negative feelings Pulling out hair may be a way of dealing with negative or uncomfortable feelings such as stress anxiety tension boredom loneliness extreme tiredness or frustration Positive feelings You may find that pulling out hair feels satisfying and provides some relief As a result you may continue to pull out your hair to keep these positive feelings Trichotillomania is a long-term disorder If not treated symptoms may come and go for weeks months or years at a time Also symptoms can vary in severity over time For example hormone changes during the menstrual period can worsen symptoms in some females Rarely pulling out hair ends within a few years of starting
Tricuspid atresia,Symptoms Tricuspid atresia symptoms are usually seen soon after birth Symptoms of tricuspid atresia may include: Blue or gray skin and lips due to low blood oxygen levels Difficulty breathing Tiring easily especially during feedings Slow growth and poor weight gain Some people with tricuspid atresia also develop symptoms of heart failure Heart failure symptoms include: Fatigue and weakness Shortness of breath Swelling in the legs ankles and feet Swelling of the belly area a condition called ascites Sudden weight gain from a buildup of fluid
Tricuspid valve disease,
Tricuspid valve regurgitation,Tricuspid valve regurgitation often doesn't cause symptoms until the condition is severe It may be found when medical tests are done for another reason Symptoms of tricuspid valve regurgitation may include: Extreme tiredness Shortness of breath with activity Feelings of a rapid or pounding heartbeat Pounding or pulsing feeling in the neck Swelling in the belly legs or neck veins
Trigeminal neuralgia,Branches of the trigeminal nerve Enlarge image Close Branches of the trigeminal nerve Branches of the trigeminal nerve Trigeminal neuralgia results in pain occurring in an area of the face supplied by one or more of the three branches of the trigeminal nerve Trigeminal neuralgia symptoms may include one or more of these patterns: Episodes of intense shooting or jabbing pain that may feel like an electric shock Sudden episodes of pain or pain triggered by touching the face chewing speaking or brushing your teeth Episodes of pain lasting from a few seconds to several minutes Pain that occurs with facial spasms Episodes of pain lasting days weeks months or longer Some people have periods when they experience no pain Pain in areas supplied by the trigeminal nerve These areas include the cheek jaw teeth gums or lips Less often the eye and forehead may be affected Pain on one side of the face at a time Pain focused in one spot Or the pain may be spread in a wider pattern Pain that rarely occurs while sleeping Episodes of pain that become more frequent and intense over time
Trigger finger,Symptoms of trigger finger may progress from mild to severe and include: Finger stiffness particularly in the morning A popping or clicking sensation as the finger moves Tenderness or a bump in the palm at the base of the affected finger Finger catching or locking in a bent position which suddenly pops straight Finger locked in a bent position Trigger finger can affect any finger including the thumb More than one finger may be affected at a time and both hands might be involved Triggering is usually worse in the morning Request an appointment There is a problem with information submitted for this request Review/update the information highlighted below and resubmit the form From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements health tips current health topics and expertise on managing health Click here for an email preview Email Address 1 ErrorEmail field is required ErrorInclude a valid email address Learn more about Mayo Clinic’s use of data To provide you with the most relevant and helpful information and understand which information is beneficial we may combine your email and website usage information with other information we have about you If you are a Mayo Clinic patient this could include protected health information If we combine this information with your protected health information we will treat all of that information as protected health information and will only use or disclose that information as set forth in our notice of privacy practices You may opt-out of email communications at any time by clicking on the unsubscribe link in the e-mail Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox Sorry something went wrong with your subscription Please try again in a couple of minutes Retry
Triple X syndrome,Symptoms Signs and symptoms can vary greatly among girls and women with triple X syndrome Many experience no noticeable effects or have only mild symptoms Being taller than average height is the most typical physical feature Most females with triple X syndrome experience normal sexual development and have the ability to become pregnant Some girls and women with triple X syndrome have intelligence in the normal range but possibly slightly lower when compared with siblings Others may have intellectual disabilities and sometimes may have behavioral problems Occasionally significant symptoms may occur which vary among individuals These signs and symptoms may show up as: Delayed development of speech and language skills as well as motor skills such as sitting up and walking Learning disabilities such as difficulty with reading understanding or math Behavioral problems such as attention-deficit/hyperactivity disorder (ADHD) or symptoms of autism spectrum disorder Psychological problems such as anxiety and depression Problems with fine and gross motor skills memory judgment and information processing Sometimes females with triple X syndrome have these signs and symptoms: Vertical folds of skin that cover the inner corners of the eyes (epicanthal folds) Widely spaced eyes Curved pinky fingers Flat feet Breastbone with an inward bowed shape Weak muscle tone (hypotonia) Seizures Problems with the kidneys Ovaries that don't work properly at a young age (premature ovarian failure)
Truncus arteriosus,Symptoms of truncus arteriosus usually occur in the first few days of life They include: Blue or gray skin due to low oxygen levels Excessive sleepiness Poor feeding Poor growth Pounding heartbeat Fast breathing Shortness of breath
